created model
Epoch 89/200 | Train Loss: 1.0770 | Val Loss: 5.6757 | Style Acc: 0.5687 | Artist Acc: 0.3834
Epoch 90/200 | Train Loss: 1.0617 | Val Loss: 5.6022 | Style Acc: 0.5745 | Artist Acc: 0.3888
Epoch 91/200 | Train Loss: 1.0432 | Val Loss: 5.6905 | Style Acc: 0.5696 | Artist Acc: 0.3854
Epoch 92/200 | Train Loss: 1.0353 | Val Loss: 5.6382 | Style Acc: 0.5751 | Artist Acc: 0.3888
Epoch 93/200 | Train Loss: 1.0229 | Val Loss: 5.6741 | Style Acc: 0.5704 | Artist Acc: 0.3874
Epoch 94/200 | Train Loss: 0.9996 | Val Loss: 5.7014 | Style Acc: 0.5692 | Artist Acc: 0.3894
Epoch 95/200 | Train Loss: 0.9935 | Val Loss: 5.7307 | Style Acc: 0.5741 | Artist Acc: 0.3870
Epoch 96/200 | Train Loss: 0.9783 | Val Loss: 5.7280 | Style Acc: 0.5683 | Artist Acc: 0.3872
Epoch 97/200 | Train Loss: 0.9749 | Val Loss: 5.7294 | Style Acc: 0.5670 | Artist Acc: 0.3873
Epoch 98/200 | Train Loss: 0.9563 | Val Loss: 5.7017 | Style Acc: 0.5744 | Artist Acc: 0.3880
Epoch 99/200 | Train Loss: 0.9531 | Val Loss: 5.7841 | Style Acc: 0.5731 | Artist Acc: 0.3902
Epoch 100/200 | Train Loss: 0.9327 | Val Loss: 5.7399 | Style Acc: 0.5702 | Artist Acc: 0.3890
Epoch 101/200 | Train Loss: 0.9178 | Val Loss: 5.8631 | Style Acc: 0.5718 | Artist Acc: 0.3856
Epoch 102/200 | Train Loss: 0.9118 | Val Loss: 5.7978 | Style Acc: 0.5740 | Artist Acc: 0.3897
Epoch 103/200 | Train Loss: 0.9094 | Val Loss: 5.8360 | Style Acc: 0.5726 | Artist Acc: 0.3877
Epoch 104/200 | Train Loss: 0.8981 | Val Loss: 5.8289 | Style Acc: 0.5730 | Artist Acc: 0.3888
Epoch 105/200 | Train Loss: 0.8803 | Val Loss: 5.8635 | Style Acc: 0.5747 | Artist Acc: 0.3890
Epoch 106/200 | Train Loss: 0.8749 | Val Loss: 5.8374 | Style Acc: 0.5708 | Artist Acc: 0.3916
Epoch 107/200 | Train Loss: 0.8658 | Val Loss: 5.8006 | Style Acc: 0.5733 | Artist Acc: 0.3909
Epoch 108/200 | Train Loss: 0.8319 | Val Loss: 5.8766 | Style Acc: 0.5730 | Artist Acc: 0.3882
Epoch 109/200 | Train Loss: 0.8438 | Val Loss: 5.9973 | Style Acc: 0.5691 | Artist Acc: 0.3848
Epoch 110/200 | Train Loss: 0.8332 | Val Loss: 5.8840 | Style Acc: 0.5758 | Artist Acc: 0.3893
Epoch 111/200 | Train Loss: 0.8246 | Val Loss: 5.9200 | Style Acc: 0.5755 | Artist Acc: 0.3902
